,iprofile,bodemcode,areaal,ihoofd,isoil1,iz1,isoil2,iz2,isoil3,iz3,isoil4,iz4,isoil5,iz5,isoil6,iz6,isoil7,iz7,isoil8,iz8,isoil9,iz9
1,1010,hVb,14688.23825,1,17,20,17,35,35,70,35,120,0,99999,0,99999,0,99999,0,99999,0,99999
2,1020,ohVb,11878.09122,1,17,8,17,25,35,35,35,70,35,120,0,99999,0,99999,0,99999,0,99999
3,1030,hVs,8279.842195,1,17,15,34,40,34,120,0,99999,0,99999,0,99999,0,99999,0,99999,0,99999
4,1040,hVsc,4184.480613,1,17,15,34,35,34,120,0,99999,0,99999,0,99999,0,99999,0,99999,0,99999
5,1050,hVc,18683.70445,1,17,15,35,30,35,50,35,120,0,99999,0,99999,0,99999,0,99999,0,99999
6,1060,hVk,3155.458227,1,17,20,35,40,35,70,30,120,0,99999,0,99999,0,99999,0,99999,0,99999
7,1070,hVz,14171.2876,1,17,20,35,40,35,80,36,100,20,120,0,99999,0,99999,0,99999,0,99999
8,1071,hVzc,1578.826003,1,17,20,35,40,35,80,36,100,20,120,0,99999,0,99999,0,99999,0,99999
9,1072,hVzx,649.341909,1,17,20,35,40,35,80,36,100,24,120,0,99999,0,99999,0,99999,0,99999
10,1080,aVc,1626.138669,1,16,15,35,60,35,120,0,99999,0,99999,0,99999,0,99999,0,99999,0,99999
11,1090,faVc,333.9602879,1,16,15,35,60,35,120,0,99999,0,99999,0,99999,0,99999,0,99999,0,99999
12,1100,aVz,13742.20359,1,16,20,35,50,35,70,20,120,0,99999,0,99999,0,99999,0,99999,0,99999
13,1110,faVz,5310.601397,1,16,20,35,50,35,70,20,120,0,99999,0,99999,0,99999,0,99999,0,99999
14,1111,faVzt,1154.603019,1,16,20,35,50,35,70,20,90,32,120,0,99999,0,99999,0,99999,0,99999
15,1120,aVp,1282.66028,1,16,20,34,60,20,75,20,90,19,120,0,99999,0,99999,0,99999,0,99999
16,1130,pVb,16115.66328,1,17,7,31,20,31,35,35,70,35,120,0,99999,0,99999,0,99999,0,99999
17,1140,opVb,3688.287658,1,17,10,28,30,35,70,35,120,0,99999,0,99999,0,99999,0,99999,0,99999
18,1150,pVs,7752.473083,1,17,5,31,15,36,30,34,60,34,120,0,99999,0,99999,0,99999,0,99999
19,1160,opVc,2608.718721,1,17,8,28,25,30,35,35,60,35,120,0,99999,0,99999,0,99999,0,99999
20,1170,pVc,13127.68509,1,17,7,30,20,36,35,35,60,35,120,0,99999,0,99999,0,99999,0,99999
21,1180,pVz,3457.934294,1,17,8,17,20,36,35,35,80,19,120,0,99999,0,99999,0,99999,0,99999
22,1190,kVb,10560.5267,1,17,8,31,30,35,60,35,120,0,99999,0,99999,0,99999,0,99999,0,99999
23,1200,kVs,11003.91174,1,17,8,31,30,34,60,34,120,0,99999,0,99999,0,99999,0,99999,0,99999
24,1210,kVsc,3642.877613,1,17,8,31,30,34,60,34,120,0,99999,0,99999,0,99999,0,99999,0,99999
25,1220,kVc,15229.12082,1,17,10,31,35,35,70,35,120,0,99999,0,99999,0,99999,0,99999,0,99999
26,1225,kVc,1818.977106,1,17,10,28,30,35,70,35,120,0,99999,0,99999,0,99999,0,99999,0,99999
27,1230,kVz,8869.215927,1,17,10,31,35,35,80,19,95,19,120,0,99999,0,99999,0,99999,0,99999
28,1235,kVz,16.36000543,1,17,10,28,30,35,80,19,95,19,120,0,99999,0,99999,0,99999,0,99999
29,1240,kVk,3803.738307,1,17,10,31,35,35,70,31,120,0,99999,0,99999,0,99999,0,99999,0,99999
30,1250,zVz,6963.287571,1,2,15,35,40,35,75,20,120,0,99999,0,99999,0,99999,0,99999,0,99999
31,1255,zVz,117.8634325,1,4,25,35,40,35,75,20,120,0,99999,0,99999,0,99999,0,99999,0,99999
32,1260,zVc,1312.180487,1,2,15,35,40,35,120,0,99999,0,99999,0,99999,0,99999,0,99999,0,99999
