,year,unit,name,wcr,wcs,alpha,npar,lambda,ksfit
1,2026.0,1,B01,0.02,0.4276744763,0.021941504,1.772038185,0.4566599312,25.7389262944
2,2026.0,2,B02,0.02,0.4213999154,0.0240156863,1.458238728,0.8257467041,21.569001985
3,2026.0,3,B03,0.02,0.4384646104,0.0150752093,1.4948735007,0.3609549081,20.4295805173
4,2026.0,4,B04,0.02,0.4693592079,0.0148849496,1.3619659711,0.6433731659,27.2202849242
5,2026.0,5,B05,0.01,0.37479184,0.0421970831,1.8560607376,-0.0777347363,58.7278031193
6,2026.0,6,B06,0.01,0.3866089978,0.018705636,1.2499927571,-0.3370656324,78.1099501943
7,2026.0,7,B07,0.0,0.4112288392,0.0181449583,1.2503391176,2.5160897405,19.6766917121
8,2026.0,8,B08,0.01,0.4317994896,0.0103868822,1.2765831563,-1.7389662969,3.0004859226
9,2026.0,9,B09,0.0,0.4286774465,0.0066728742,1.2843234556,-2.2802291858,1.8201015396
10,2026.0,10,B10,0.01,0.4374901336,0.0086348506,1.173259792,-0.4623883454,1.4353884362
11,2026.0,11,B11,0.01,0.5912861103,0.021620208,1.1066952296,-5.5492164569,6.3053204871
12,2026.0,12,B12,0.01,0.5301496041,0.0175943691,1.0907599891,-4.6597331672,2.6087979288
13,2026.0,13,B13,0.01,0.41167868,0.0080703796,1.4299457353,-0.9728096973,22.1982760057
14,2026.0,14,B14,0.01,0.4166239877,0.0054425305,1.299232544,-0.1140117233,0.9443475406
15,2026.0,15,B15,0.01,0.5284580715,0.0237306434,1.2823472758,-1.4775644692,87.4507889163
16,2026.0,16,B16,0.01,0.7850888429,0.0217416728,1.2752833278,-0.7015014278,15.1402528943
17,2026.0,17,B17,0.0,0.717013165,0.0193765428,1.135409598,0.0001,4.3972644343
18,2026.0,18,B18,0.0,0.7654523263,0.0204682957,1.1507088089,0.0001,13.1445615506
19,2026.0,19,O01,0.01,0.3518267774,0.0201676557,2.319037025,0.2932852116,18.6381393632
20,2026.0,20,O02,0.02,0.3796835636,0.0180408329,1.8327876013,0.7150592636,14.9797615827
21,2026.0,21,O03,0.01,0.3387838974,0.017098242,1.682265888,0.0465184757,11.3230546424
22,2026.0,22,O04,0.01,0.3619907617,0.0139326984,1.494386282,1.8405176696,23.5758867062
23,2026.0,23,O05,0.01,0.3260896781,0.0406874992,2.4973734894,0.0667270894,23.5627420839
24,2026.0,24,O06,0.01,0.3345689095,0.0157945496,1.2799945373,-0.8620091273,26.9990760021
25,2026.0,25,O07,0.01,0.5131262066,0.0119851595,1.1530179501,-2.0132890289,37.5504195191
26,2026.0,26,O08,0.0,0.4537514184,0.011324064,1.3459681168,-0.9038231813,8.6408604382
27,2026.0,27,O09,0.0,0.4572320669,0.0097068893,1.367807285,-0.8480458285,3.6506523138
28,2026.0,28,O10,0.01,0.4723433143,0.0100481364,1.2456913875,-0.7929591561,2.300067211
29,2026.0,29,O11,0.0,0.4252301253,0.0146415341,1.1399637561,0.0001,3.7940427796
30,2026.0,30,O12,0.01,0.5621936852,0.0088593594,1.156096629,-2.79956252,1.1344926884
31,2026.0,31,O13,0.01,0.5725945869,0.0264291925,1.0788311563,-6.4513863171,7.9050196317
32,2026.0,32,O14,0.01,0.396892211,0.0033393773,1.5978127088,0.6774202194,2.5220401719
33,2026.0,33,O15,0.01,0.4104394641,0.0077149105,1.2849409992,0.1773363417,2.9284691914
34,2026.0,34,O16,0.0,0.8906436477,0.0094010953,1.3609357523,0.0001,1.8244689326
35,2026.0,35,O17,0.01,0.8458962854,0.0116938668,1.2695271991,-1.0993929588,3.5451807654
36,2026.0,36,O18,0.01,0.5911499836,0.0119291973,1.3051855063,-0.2263578242,30.6442315566
